client_id,valeur_vie_client_eur,revenu_mensuel_recurrent_eur,sieges_souscrits,utilisateurs_actifs,taille_entreprise_ge,plan_ent,fonctionnalites_utilisees,delai_reponse_support_h,taille_entreprise_tpe,plan_str,taille_entreprise_pme
CLI-003264,5647.0,500.0,20,14,0,0,6,10.5,0,0,1
CLI-002224,85452.0,1828.25,34,12,0,0,5,7.4,0,0,1
CLI-002360,1700.0,188.49,8,2,0,0,8,13.5,1,0,0
CLI-001303,40114.0,978.38,30,21,0,0,9,15.0,0,0,1
CLI-003985,40696.0,1033.95,47,6,0,0,6,12.7,0,0,1
CLI-002761,2358.0,319.5,25,24,0,0,5,20.6,0,1,1
CLI-003610,21764.0,1396.91,50,5,0,0,1,13.8,0,0,1
CLI-002394,131684.0,10036.92,217,108,0,0,12,4.3,0,0,0
CLI-002180,20141.0,3070.34,136,73,0,0,5,20.3,0,0,0
CLI-001661,25752.0,581.57,22,14,0,0,1,17.5,0,0,1
CLI-003048,10800.0,1013.18,34,32,0,0,15,14.0,0,0,1
CLI-002701,7863.0,223.0,16,14,0,0,5,36.7,0,1,1
CLI-004659,64981.0,9905.71,132,51,0,1,23,0.7,0,0,0
CLI-001045,725.0,220.95,24,4,0,0,2,24.3,0,1,1
CLI-002925,22464.0,537.17,41,22,0,0,3,26.6,0,1,1
CLI-002740,7690.0,1339.72,34,6,0,0,5,5.1,0,0,1
CLI-003084,978.0,198.76,10,6,0,0,4,12.5,1,0,0
CLI-001011,194968.0,29720.7,654,362,1,0,13,3.6,0,0,0
CLI-002798,12894.0,1747.19,53,19,0,0,8,8.4,0,0,0
CLI-001879,105435.0,2795.19,51,25,0,0,12,10.5,0,0,1
CLI-003612,227995.0,9268.09,194,65,0,0,12,2.2,0,0,0
CLI-003731,3638.0,554.62,54,23,0,0,1,29.4,0,1,1
CLI-004030,34774.0,1696.29,23,3,0,1,6,3.8,0,0,1
CLI-002983,2885.0,121.33,3,1,0,0,7,3.8,1,0,0
CLI-001468,2000000.0,56081.79,593,435,1,1,16,4.0,0,0,0
CLI-003498,14362.0,700.57,32,10,0,0,3,19.3,0,0,1
CLI-003929,3458.0,351.45,15,5,0,0,7,10.5,0,0,1
CLI-003566,1174.0,238.52,12,9,0,0,8,11.8,0,0,1
CLI-001564,9259.0,664.18,27,18,0,0,6,10.5,0,0,1
CLI-002689,30012.0,1407.69,47,31,0,0,8,9.0,0,0,1
CLI-001806,55892.0,2350.36,53,30,0,0,18,10.5,0,0,1
CLI-004662,41323.0,1527.07,52,36,0,0,6,8.1,0,0,1
CLI-000918,45982.0,2548.9,112,53,0,0,3,17.0,0,0,0
CLI-004466,271073.0,4591.35,180,140,0,0,10,7.8,0,0,0
CLI-002525,70762.0,1710.0,38,19,0,0,3,10.5,0,0,0
CLI-003862,8611.0,750.08,59,0,0,0,0,26.0,0,1,1
CLI-002793,2000000.0,55542.77,621,497,1,1,8,1.4,0,0,0
CLI-002047,139567.0,9455.77,209,105,0,0,8,13.3,0,0,0
CLI-004346,2570.0,348.18,14,6,0,0,5,12.5,0,0,1
CLI-001421,7813.0,167.16,6,0,0,0,0,14.9,1,0,0
CLI-002271,901.0,64.66,5,4,0,0,4,30.3,1,1,0
CLI-000372,129567.0,1628.95,57,29,0,0,8,13.8,0,0,1
CLI-003130,10593.0,538.27,22,12,0,0,7,11.4,0,0,1
CLI-002321,21339.0,867.44,32,14,0,0,3,17.5,0,0,1
CLI-003448,24994.0,5080.14,186,131,0,0,7,14.2,0,0,0
CLI-000080,286686.0,4370.22,43,10,0,1,11,3.8,0,0,0
CLI-000541,2448.0,186.58,9,4,0,0,4,8.9,1,0,0
CLI-000489,300.0,21.5,2,1,0,0,2,26.0,1,1,0
CLI-001726,2565.0,100.9,8,2,0,0,2,11.8,1,1,0
CLI-000676,202290.0,9488.27,205,25,0,0,7,10.5,0,0,0
CLI-000087,701.0,171.02,10,2,0,0,0,17.7,1,0,0
CLI-002657,990.0,86.2,3,1,0,0,6,15.2,1,0,0
CLI-003030,735202.0,33206.95,366,61,1,1,13,2.3,0,0,0
CLI-003200,1796.0,31.29,3,1,0,0,3,23.3,1,1,0
CLI-004921,3683.0,641.59,10,5,0,1,20,2.8,1,0,0
CLI-004930,41782.0,5661.51,140,88,1,0,12,4.8,0,0,0
CLI-004333,99236.0,1920.95,35,12,0,0,5,2.4,0,0,1
CLI-002906,1527.0,206.9,8,5,0,0,8,11.6,1,0,0
CLI-001126,642.0,78.34,2,1,0,0,1,7.2,1,0,0
CLI-003529,224343.0,7816.83,205,37,0,0,11,4.7,0,0,0
CLI-002691,2450.0,76.62,6,3,0,0,4,29.4,1,1,0
CLI-002401,11408.0,1070.19,39,7,0,0,1,5.8,0,0,1
CLI-002631,1028.0,59.67,5,3,0,0,3,10.5,1,1,0
CLI-001881,273797.0,12366.61,200,0,0,1,0,3.1,0,0,0
CLI-004555,127711.0,8197.13,186,91,0,0,13,6.1,0,0,0
CLI-000737,553.0,112.4,9,3,0,0,3,17.3,1,1,0
CLI-003256,52584.0,2914.87,56,35,0,0,9,8.8,0,0,1
CLI-004733,174126.0,11176.28,142,118,1,1,22,4.3,0,0,0
CLI-002382,95429.0,2770.88,75,52,0,0,4,13.3,0,0,0
CLI-004120,233825.0,5380.23,100,54,0,0,9,8.2,0,0,0
CLI-002528,314761.0,15354.18,174,68,0,1,15,7.2,0,0,0
CLI-001408,1033.0,96.95,4,2,0,0,4,12.2,1,0,0
CLI-004242,4521.0,918.91,39,29,0,0,7,10.5,0,0,1
CLI-004166,204269.0,12455.44,171,94,1,1,15,1.1,0,0,0
CLI-004205,48630.0,4561.89,99,16,0,0,2,6.5,0,0,0
CLI-000376,682541.0,15705.04,303,144,1,0,11,9.5,0,0,0
CLI-004280,2421.0,155.36,6,3,0,0,6,17.9,1,0,0
CLI-002444,25181.0,1096.75,39,17,0,0,3,8.6,0,0,1
CLI-003421,21884.0,1482.63,56,30,0,0,5,6.8,0,0,1
CLI-000127,1939.0,90.96,8,1,0,0,2,10.5,1,1,0
CLI-001167,40023.0,4067.41,49,33,0,1,12,10.6,0,0,1
CLI-002040,841.0,68.39,6,3,0,0,1,22.3,1,1,0
CLI-004077,9512.0,527.3,10,3,0,0,11,1.2,1,0,0
CLI-001417,12430.0,1010.53,25,1,0,0,1,8.4,0,0,1
CLI-000303,10273.0,1252.76,55,0,0,0,0,7.3,0,0,1
CLI-004033,420.0,56.92,4,3,0,0,6,10.5,1,1,0
CLI-000998,1039.0,211.12,9,4,0,0,5,10.5,1,0,0
CLI-004370,784.0,39.84,3,2,0,0,2,25.2,1,1,0
CLI-002768,60885.0,1178.58,27,19,0,0,14,6.3,0,0,1
CLI-000499,83864.0,3520.0,44,26,0,1,17,5.5,0,0,0
CLI-003195,3238.0,171.67,7,4,0,0,3,11.7,1,0,0
CLI-000451,18358.0,1243.77,48,20,0,0,7,14.3,0,0,1
CLI-003727,828.0,12.31,1,1,0,0,3,28.4,1,1,0
CLI-002720,37888.0,1650.19,30,25,0,0,15,10.5,0,0,1
CLI-001526,489340.0,27125.25,633,282,1,0,6,10.5,0,0,0
CLI-001708,16790.0,232.68,6,4,0,0,8,2.0,1,0,0
CLI-004341,9786.0,745.91,11,8,0,1,25,1.3,0,0,1
CLI-002106,34263.0,852.73,30,19,0,0,7,10.9,0,0,1
CLI-003330,10251.0,735.37,10,6,0,1,16,5.2,1,0,0
CLI-002499,7346.0,182.82,6,3,0,0,3,13.5,1,0,0
CLI-002305,773610.0,55495.68,679,265,1,1,9,0.5,0,0,0
CLI-002654,23136.0,783.74,9,7,0,1,25,5.4,1,0,0
CLI-000881,1310489.0,34003.36,615,588,1,0,17,8.7,0,0,0
CLI-001946,957300.0,23825.28,833,475,1,0,6,16.3,0,0,0
CLI-004731,316736.0,8218.38,179,34,0,0,1,2.7,0,0,0
CLI-004509,2637.0,402.0,17,8,0,0,10,18.8,0,0,1
CLI-002921,31447.0,2255.86,47,30,0,0,12,7.0,0,0,1
CLI-003808,41132.0,895.74,29,16,0,0,6,10.8,0,0,1
CLI-002823,1336.0,101.8,9,5,0,0,4,22.2,1,1,0
CLI-003861,29105.0,2218.39,57,42,0,0,13,10.5,0,0,1
CLI-002848,36306.0,4427.56,110,8,0,0,5,7.5,0,0,0
CLI-000833,104338.0,8482.77,116,53,0,1,16,2.5,0,0,0
CLI-001256,187486.0,9145.64,217,149,1,0,16,9.7,0,0,0
CLI-004571,733.0,33.13,1,1,0,0,6,10.3,1,0,0
CLI-001809,1328821.0,37686.36,675,490,1,0,10,3.1,0,0,0
CLI-000491,11014.0,746.23,31,13,0,0,3,14.6,0,0,1
CLI-004951,42482.0,6475.88,323,95,1,0,1,9.1,0,0,0
CLI-003316,5438.0,414.5,33,8,0,0,2,35.6,0,1,1
CLI-003435,1186.0,68.9,7,2,0,0,2,13.9,1,1,0
CLI-003107,13321.0,676.86,53,0,0,0,0,28.2,0,1,1
CLI-000324,8071.0,193.0,8,3,0,0,4,11.4,1,0,0
CLI-004709,1603.0,177.71,9,7,0,0,6,7.2,1,0,0
CLI-001298,12230.0,1657.17,170,85,0,0,3,41.1,0,1,0
CLI-002620,335.0,58.36,5,5,0,0,5,30.5,1,1,0
CLI-004792,23123.0,1484.12,22,9,0,1,8,1.4,0,0,1
CLI-001034,32239.0,2457.24,54,0,0,0,0,10.2,0,0,0
CLI-001680,381.0,23.23,2,1,0,0,2,27.0,1,1,0
CLI-001383,24333.0,581.84,22,15,0,0,6,17.2,0,0,1
CLI-004492,1447.0,196.06,10,3,0,0,5,12.0,0,0,1
CLI-000459,4889.0,496.83,51,0,0,0,0,17.9,0,1,1
CLI-001389,2593.0,71.87,5,3,0,0,4,10.5,1,1,0
CLI-003697,97092.0,2368.09,50,22,0,0,12,3.9,0,0,1
CLI-000135,2921.0,254.4,5,4,0,0,12,6.9,1,0,0
CLI-004231,77172.0,904.92,28,22,0,0,5,12.5,0,0,1
CLI-002703,22868.0,3485.92,58,10,0,1,1,0.7,0,0,1
CLI-002320,12791.0,1949.83,53,19,0,0,9,5.6,0,0,1
CLI-001176,808.0,70.39,6,1,0,0,3,15.4,1,1,0
CLI-003949,23188.0,1767.39,80,33,0,0,4,12.4,0,0,0
CLI-001282,38152.0,1224.4,30,16,0,0,6,10.5,0,0,1
CLI-002671,4494.0,182.69,8,5,0,0,9,12.6,0,0,1
CLI-000545,200430.0,4526.42,89,48,0,0,6,10.1,0,0,0
CLI-001932,1158240.0,61412.53,796,694,1,1,16,0.5,0,0,0
CLI-003294,476.0,25.23,2,1,0,0,4,26.2,1,1,0
CLI-000327,302.0,72.0,6,1,0,0,3,38.0,1,1,0
CLI-003399,43992.0,5364.85,89,0,0,1,0,4.6,0,0,0
CLI-001161,469.0,43.99,4,2,0,0,2,15.2,1,1,0
CLI-001752,1046.0,49.05,2,1,0,0,5,1.5,1,0,0
CLI-003452,15054.0,1147.44,48,17,0,0,6,10.8,0,0,1
CLI-000494,9610.0,148.35,3,2,0,0,9,12.5,1,0,0
CLI-003437,47650.0,1709.11,37,27,0,0,8,12.0,0,0,1
CLI-000269,17750.0,1202.6,45,14,0,0,4,8.6,0,0,1
CLI-000285,330.0,12.99,1,1,0,0,5,19.8,1,1,0
CLI-000636,97878.0,1956.77,33,25,0,0,10,5.5,0,0,1
CLI-001786,45562.0,2057.91,49,18,0,0,2,13.1,0,0,1
CLI-002875,28351.0,8643.54,193,68,0,0,8,10.4,0,0,0
CLI-000031,17433.0,3037.11,98,10,0,0,2,4.8,0,0,0
CLI-003688,3659.0,343.21,34,11,0,0,2,41.3,0,1,1
CLI-004381,14966.0,793.53,14,9,0,0,13,10.5,0,0,1
CLI-000835,153639.0,9368.22,372,208,1,0,7,10.5,0,0,0
CLI-000125,5206.0,171.59,6,3,0,0,8,10.9,0,0,1
CLI-001912,1601.0,108.44,8,0,0,0,0,15.0,1,1,0
CLI-002849,663.0,40.44,2,1,0,0,6,9.4,1,0,0
CLI-003998,17133.0,746.19,33,25,0,0,6,11.4,0,0,1
CLI-001329,4391.0,205.96,19,11,0,0,4,15.0,0,1,1
CLI-003428,300.0,68.38,6,5,0,0,6,30.8,1,1,0
CLI-001386,122168.0,18623.18,456,368,1,0,16,3.0,0,0,0
CLI-002557,923.0,75.08,3,2,0,0,7,13.8,1,0,0
CLI-001807,335.0,25.55,1,1,0,0,3,15.7,1,0,0
CLI-001307,10706.0,1088.05,102,22,0,0,2,9.4,0,1,0
CLI-003527,31193.0,845.35,47,42,0,0,5,28.7,0,1,1
CLI-003831,6822.0,594.21,25,10,0,0,5,13.3,0,0,1
CLI-002261,16392.0,1332.68,66,13,0,0,4,14.3,0,0,0
CLI-001847,10460.0,579.81,44,19,0,0,3,19.6,0,1,1
CLI-003678,18373.0,2240.62,57,0,0,0,0,11.0,0,0,1
CLI-000784,81171.0,3535.31,70,58,0,0,13,9.5,0,0,0
CLI-000910,36664.0,1397.26,28,0,0,0,0,8.8,0,0,1
CLI-003089,4951.0,503.12,25,14,0,0,9,20.2,0,0,1
CLI-001124,1636531.0,64379.68,884,126,1,1,13,2.7,0,0,0
CLI-002177,175236.0,5212.24,199,94,0,0,4,6.6,0,0,0
CLI-001352,1130.0,76.59,3,2,0,0,13,8.1,1,0,0
CLI-000078,65682.0,8010.0,186,12,0,0,5,4.2,0,0,0
CLI-001202,991.0,22.38,2,1,0,0,2,31.2,1,1,0
CLI-000659,20657.0,1095.26,55,11,0,0,4,8.3,0,0,1
CLI-004717,27125.0,703.81,15,6,0,0,10,9.3,0,0,1
CLI-002227,1300.0,48.05,3,2,0,0,4,31.7,1,1,0
CLI-001844,827.0,100.81,10,2,0,0,2,27.3,1,1,0
CLI-004596,16388.0,166.54,6,4,0,0,7,11.8,1,0,0
CLI-000452,480.0,38.99,3,1,0,0,2,28.6,1,1,0
CLI-001641,5388.0,126.36,10,7,0,0,4,31.3,1,1,0
CLI-004579,300.0,20.06,1,1,0,0,4,11.5,1,0,0
CLI-003359,2130.0,371.09,16,0,0,0,0,3.7,0,0,1
CLI-003685,5644.0,275.31,7,3,0,0,9,5.4,0,0,1
CLI-001629,667.0,120.0,10,4,0,0,2,15.8,1,1,0
CLI-004993,29610.0,1504.55,32,15,0,0,9,10.5,0,0,1
CLI-000432,27803.0,1883.7,37,22,0,0,6,3.2,0,0,0
CLI-003337,713.0,72.47,6,2,0,0,4,10.5,1,1,0
CLI-002428,414.0,13.28,1,1,0,0,2,16.7,1,1,0
CLI-003014,62296.0,4525.0,181,116,0,0,4,14.0,0,0,0
CLI-000217,30865.0,313.67,7,1,0,0,2,10.0,1,0,0
CLI-001546,1315.0,48.61,4,2,0,0,3,18.8,1,1,0
CLI-003664,241854.0,42134.9,467,297,1,1,27,4.6,0,0,0
CLI-001538,3794.0,140.19,10,6,0,0,3,34.2,1,1,0
CLI-003051,328537.0,7154.55,127,72,0,0,12,10.5,0,0,0
CLI-001029,1034.0,252.15,15,0,0,0,0,21.0,0,0,1
CLI-000391,90467.0,3343.2,72,38,0,0,8,1.0,0,0,0
CLI-002885,2738.0,556.58,39,30,0,0,4,31.9,0,1,1
CLI-001710,1061.0,80.89,3,2,0,0,6,12.5,1,0,0
CLI-003201,2259.0,344.4,15,9,0,0,3,12.2,0,0,1
CLI-004279,6381.0,486.33,11,5,0,0,11,7.5,1,0,0
CLI-000962,59412.0,8050.34,179,117,0,0,11,4.8,0,0,0
CLI-002359,9425.0,547.32,10,4,0,0,5,8.3,0,0,1
CLI-004267,15606.0,906.3,22,5,0,0,1,9.1,0,0,1
CLI-003364,7151.0,969.02,35,18,0,0,6,10.5,0,0,1
CLI-002877,260344.0,9950.0,398,212,1,0,5,18.1,0,0,0
CLI-004148,402818.0,54582.34,815,157,1,1,14,5.6,0,0,0
CLI-000384,89125.0,6793.03,142,27,0,0,11,4.4,0,0,0
CLI-003282,12116.0,2110.83,51,34,0,0,10,10.5,0,0,1
CLI-000681,981.0,85.43,8,7,0,0,6,19.6,1,1,0
CLI-004467,58050.0,7865.9,102,48,0,1,7,2.6,0,0,0
CLI-001272,11452.0,931.09,38,28,0,0,7,7.5,0,0,1
CLI-003789,627.0,40.26,1,1,0,0,12,2.3,1,0,0
CLI-003433,680.0,46.05,4,1,0,0,3,18.2,1,1,0
CLI-002816,149498.0,7292.57,142,77,0,0,14,7.3,0,0,0
CLI-003837,6386.0,973.44,45,14,0,0,3,12.3,0,0,1
CLI-003634,4865.0,164.79,11,7,0,0,4,30.4,1,1,0
CLI-000279,6536.0,1138.63,45,21,0,0,9,18.5,0,0,1
CLI-002597,9637.0,839.45,33,25,0,0,9,15.7,0,0,1
CLI-003541,348.0,38.55,3,2,0,0,4,28.7,1,1,0
CLI-000775,456.0,79.49,7,5,0,0,3,23.2,1,1,0
CLI-001431,369025.0,5294.48,197,56,0,0,4,5.1,0,0,0
CLI-004199,7091.0,1235.45,49,26,0,0,6,15.9,0,0,1
CLI-002787,2012.0,188.77,9,2,0,0,3,12.0,1,0,0
CLI-001253,1228.0,249.56,28,0,0,0,0,14.2,0,1,1
CLI-001701,11176.0,378.58,16,5,0,0,5,12.8,0,0,1
CLI-004406,21025.0,2848.86,39,25,0,1,19,3.3,0,0,1
CLI-000654,13662.0,617.06,13,3,0,0,7,6.7,0,0,1
CLI-001270,40697.0,2363.36,136,38,1,0,1,10.3,0,0,0
CLI-003238,6655.0,901.74,43,19,0,0,4,9.1,0,0,1
CLI-001284,103565.0,4355.14,106,48,0,0,6,11.2,0,0,0
CLI-004706,980.0,42.7,3,2,0,0,5,3.9,1,1,0
CLI-001655,241535.0,11782.18,142,105,1,1,11,1.1,0,0,0
CLI-000428,348.0,42.4,4,1,0,0,2,26.6,1,1,0
CLI-003450,425.0,103.58,10,5,0,0,1,19.3,1,1,0
CLI-004590,274459.0,27892.22,731,492,1,0,6,6.8,0,0,0
CLI-004095,582.0,101.37,9,5,0,0,3,28.5,1,1,0
CLI-000047,13027.0,2269.46,31,3,0,1,1,5.1,0,0,1
CLI-002763,2285.0,139.32,6,3,0,0,7,11.0,1,0,0
CLI-001552,14131.0,1723.25,57,30,0,0,11,7.3,0,0,1
CLI-003104,21069.0,1712.96,44,2,0,0,1,0.5,0,0,1
CLI-000350,31610.0,1835.65,43,30,0,0,16,6.8,0,0,1
CLI-000512,98602.0,5228.1,193,143,0,0,6,12.8,0,0,0
CLI-002000,9625.0,733.6,38,17,0,0,4,13.9,0,0,1
CLI-001120,4993.0,507.42,52,17,0,0,4,10.5,0,1,1
CLI-003371,10640.0,926.84,24,18,0,0,14,3.4,0,0,1
CLI-001642,41213.0,1523.03,17,14,0,1,17,0.5,0,0,1
CLI-000365,25756.0,1570.51,57,41,0,0,10,10.5,0,0,1
CLI-000049,37272.0,454.54,10,5,0,0,10,5.8,1,0,0
CLI-002972,6825.0,416.14,34,24,0,0,3,20.8,0,1,1
CLI-000313,75142.0,2863.66,54,24,0,0,4,5.1,0,0,1
CLI-000915,34788.0,1844.54,58,15,0,0,1,7.4,0,0,1
CLI-002602,16950.0,626.4,49,33,0,0,3,23.1,0,1,1
CLI-004414,110129.0,4974.21,68,57,0,1,21,0.5,0,0,0
CLI-004136,13958.0,773.71,30,12,0,0,0,16.2,0,0,1
CLI-000746,11169.0,277.97,9,6,0,0,8,13.2,0,0,1
CLI-002796,25723.0,681.95,13,10,0,0,8,6.2,0,0,1
CLI-003803,282166.0,15641.13,330,151,1,0,7,5.2,0,0,0
CLI-000304,981.0,132.99,5,1,0,0,3,12.4,1,0,0
CLI-003445,87483.0,10668.67,133,0,0,1,0,2.1,0,0,0
CLI-000138,13962.0,1418.92,53,42,0,0,8,17.6,0,0,1
CLI-003964,8204.0,188.77,6,3,0,0,2,6.7,1,0,0
CLI-004035,439.0,12.74,1,1,0,0,4,10.5,1,1,0
CLI-001096,27508.0,1242.47,48,14,0,0,3,11.5,0,0,1
CLI-003952,5708.0,580.11,25,3,0,0,1,21.1,0,0,1
CLI-000035,29926.0,598.28,12,6,0,0,12,6.0,0,0,1
CLI-003072,283645.0,11530.27,468,100,1,0,5,20.7,0,0,0
CLI-003233,40325.0,1490.2,55,42,0,0,6,11.2,0,0,1
CLI-002389,965755.0,21031.25,466,172,1,0,9,7.6,0,0,0
CLI-003792,66288.0,6736.6,175,87,0,0,8,2.1,0,0,0
CLI-003896,110245.0,4636.02,50,32,0,1,22,0.5,0,0,0
CLI-003805,9822.0,630.43,8,3,0,1,25,6.6,1,0,0
CLI-003149,5099.0,282.66,14,9,0,0,9,4.6,0,0,1
CLI-002319,3088.0,144.83,6,3,0,0,6,12.2,1,0,0
CLI-002900,1906.0,136.76,5,5,0,0,11,6.0,1,0,0
CLI-001939,1387.0,422.81,19,3,0,0,0,17.7,0,0,1
CLI-002977,41308.0,2518.76,48,42,0,0,20,10.5,0,0,1
CLI-003451,4116.0,557.69,43,18,0,0,2,4.8,0,1,1
CLI-000028,752272.0,33977.96,348,293,1,1,20,3.8,0,0,0
CLI-002626,11658.0,1015.47,51,14,0,0,5,14.8,0,0,1
CLI-001052,9688.0,492.26,42,4,0,0,2,25.9,0,1,1
CLI-000645,1675.0,107.53,11,6,0,0,4,26.1,1,1,0
CLI-004557,1358.0,33.11,3,2,0,0,3,40.8,1,1,0
CLI-000736,1518.0,142.36,13,4,0,0,1,18.9,0,1,1
CLI-000198,32006.0,1175.0,47,34,0,0,9,7.1,0,0,1
CLI-002288,7611.0,386.76,14,10,0,0,4,15.6,0,0,1
CLI-003188,31888.0,1944.39,43,26,0,0,17,3.0,0,0,1
CLI-004944,49084.0,1575.24,53,32,0,0,10,12.7,0,0,1
CLI-000129,54349.0,2367.1,28,21,0,1,25,3.0,0,0,1
CLI-004129,340.0,37.67,2,1,0,0,5,14.2,1,0,0
CLI-000471,1324.0,107.68,11,3,0,0,2,26.7,1,1,0
CLI-004210,2100.0,128.04,10,9,0,0,3,13.9,1,1,0
CLI-001775,117443.0,5728.94,69,35,0,1,18,4.0,0,0,0
CLI-002888,1488.0,49.04,1,1,0,0,12,6.1,1,0,0
CLI-002619,664.0,25.32,1,1,0,0,8,4.5,1,0,0
CLI-003033,2922.0,222.68,8,5,0,0,4,9.6,1,0,0
CLI-001229,3290.0,154.32,6,2,0,0,4,11.1,1,0,0
CLI-003220,13782.0,1527.99,31,21,0,0,10,8.3,0,0,1
CLI-000911,2354.0,191.39,8,7,0,0,10,14.2,1,0,0
CLI-000472,42499.0,2253.41,55,17,0,0,10,10.5,0,0,1
CLI-000544,20781.0,873.88,36,15,0,0,6,7.4,0,0,0
CLI-004707,31382.0,2391.94,59,32,0,0,10,5.3,0,0,1
CLI-000136,43682.0,6658.82,91,28,0,1,8,8.3,0,0,0
CLI-004570,6269.0,231.68,10,4,0,0,1,10.5,1,0,0
CLI-002969,4833.0,107.17,8,6,0,0,4,22.6,1,1,0
CLI-000310,13617.0,221.41,8,6,0,0,8,13.3,1,0,0
CLI-002694,10291.0,1045.79,44,27,0,0,5,13.7,0,0,1
CLI-001474,101714.0,2000.67,39,26,0,0,13,6.4,0,0,1
CLI-000772,134238.0,3992.8,83,24,0,0,11,1.8,0,0,0
CLI-000344,389107.0,9684.09,190,72,0,0,7,3.2,0,0,0
CLI-002957,300.0,21.44,2,1,0,0,2,28.6,1,1,0
CLI-004905,36066.0,975.0,39,33,0,0,8,8.3,0,0,0
CLI-001675,79973.0,1108.28,46,38,0,0,7,18.0,0,0,1
CLI-002729,8748.0,136.78,11,4,0,0,3,21.2,1,1,0
CLI-000938,42003.0,2695.96,58,21,0,0,12,0.5,0,0,0
CLI-002867,9385.0,97.82,7,3,0,0,3,10.5,1,1,0
CLI-003150,12450.0,1380.22,56,29,0,0,4,20.6,0,0,1
CLI-002199,16693.0,1272.36,51,41,0,0,6,11.1,0,0,1
CLI-000967,300.0,10.82,1,0,0,0,0,32.4,1,1,0
CLI-000140,6911.0,766.2,29,23,0,0,10,13.6,0,0,1
CLI-000908,27577.0,782.11,48,41,0,0,3,18.0,0,1,1
CLI-004083,5047.0,307.74,13,6,0,0,3,12.5,0,0,1
CLI-001419,11083.0,245.75,8,7,0,0,9,9.4,1,0,0
CLI-001442,11418.0,696.22,16,10,0,0,12,10.5,0,0,1
CLI-002704,300.0,26.12,2,1,0,0,1,24.3,1,1,0
CLI-001834,6869.0,1520.0,19,7,0,1,15,1.3,0,0,1
CLI-002505,18073.0,918.34,49,0,0,0,0,13.2,0,0,1
CLI-001963,15724.0,266.33,9,8,0,0,7,11.5,0,0,1
CLI-003500,5363.0,152.1,11,4,0,0,3,11.1,1,1,0
CLI-000974,1785.0,87.09,3,2,0,0,8,11.5,1,0,0
CLI-000904,22462.0,1014.53,34,27,0,0,8,16.7,0,0,1
CLI-002206,76232.0,1787.81,72,32,0,0,7,19.9,0,0,0
