client_id,churn,anciennete_mois,sieges_souscrits,utilisateurs_actifs,taux_adoption_pct,connexions_30j,heures_usage_30j,fonctionnalites_utilisees,nb_integrations,derniere_connexion_jours,tickets_support_90j,delai_reponse_support_h,csat,retards_paiement_12m,revenu_mensuel_recurrent_eur,inactivite_relative,inactif_30j,taux_fonctionnalites,polarite_csm_alerte,polarite_csm_neutre,polarite_csm_positif,polarite_csm_absent,niveau_anciennete_recent,niveau_anciennete_etabli,niveau_anciennete_ancien
CLI-003049,1,1,34,11,32.4,2,0.7,1,0,2,2,5.7,3,2,1022.59,0.07,0,0.04,0,0,0,1,1,0,0
CLI-001044,0,18,19,13,68.4,1,0.6,1,1,30,2,28.6,3,0,208.62,0.06,1,0.12,0,0,0,1,0,0,1
CLI-003193,0,3,21,14,66.7,54,29.2,6,0,2,3,17.8,2,2,557.74,0.02,0,0.38,0,0,0,1,1,0,0
CLI-003089,0,9,25,14,56.0,11,9.7,9,1,3,5,20.2,2,0,503.12,0.01,0,0.56,0,0,0,1,0,1,0
CLI-001724,0,3,5,2,40.0,23,11.6,3,0,3,0,14.8,4,0,56.49,0.03,0,0.38,0,0,0,1,1,0,0
CLI-002181,1,1,7,3,42.9,20,4.5,2,0,4,0,20.5,2,1,85.18,0.13,0,0.25,1,0,0,0,1,0,0
CLI-003979,0,3,64,22,34.4,9,2.5,5,1,2,2,10.5,3,2,1210.71,0.02,0,0.31,0,1,0,0,1,0,0
CLI-004865,0,6,38,19,50.0,15,1.8,12,1,1,2,2.1,4,1,2950.97,0.01,0,0.3,0,0,0,1,0,1,0
CLI-001581,1,1,6,2,33.3,18,6.8,3,0,2,2,28.0,3,3,64.11,0.07,0,0.38,0,1,0,0,1,0,0
CLI-000366,1,2,39,24,61.5,41,7.9,6,0,1,10,19.2,3,0,975.0,0.02,0,0.38,1,0,0,0,1,0,0
CLI-004002,0,10,48,37,77.1,53,43.5,7,2,1,3,13.5,3,0,1345.91,0.0,0,0.44,0,1,0,0,0,1,0
CLI-002784,0,17,7,6,85.7,35,13.2,3,6,0,0,14.6,5,0,64.93,0.0,0,0.38,0,0,1,0,0,0,1
CLI-002694,1,1,44,27,61.4,1,0.1,5,0,20,5,13.7,2,2,1045.79,0.67,0,0.31,0,0,0,1,1,0,0
CLI-000750,1,5,103,50,48.5,8,2.6,11,1,7,6,10.9,2,0,4648.77,0.05,0,0.42,0,0,0,1,0,1,0
CLI-003850,0,16,9,6,66.7,26,22.1,5,1,0,4,14.4,4,0,235.03,0.0,0,0.31,0,0,0,1,0,0,1
CLI-000387,1,8,10,6,60.0,33,14.8,4,0,1,6,32.0,2,0,129.22,0.0,0,0.5,0,0,0,1,0,1,0
CLI-003752,1,13,20,4,20.0,6,1.1,4,1,2,5,15.1,2,1,399.21,0.01,0,0.25,1,0,0,0,0,0,1
CLI-003906,1,14,7,1,14.3,1,0.3,1,3,2,0,10.5,4,0,82.2,0.0,0,0.12,0,0,0,1,0,0,1
CLI-004211,0,13,5,2,40.0,18,6.3,1,2,1,0,12.2,5,0,64.15,0.0,0,0.12,0,0,0,1,0,0,1
CLI-003366,0,21,54,18,33.3,1,0.2,2,1,3,5,10.5,4,0,1516.96,0.0,0,0.12,0,0,0,1,0,0,1
CLI-001898,0,4,32,20,62.5,16,6.2,7,0,2,3,5.8,3,0,1263.64,0.02,0,0.27,0,1,0,0,0,1,0
CLI-001862,0,10,10,5,50.0,15,5.3,0,3,1,0,10.6,3,0,179.72,0.0,0,0.0,0,1,0,0,0,1,0
CLI-003064,0,8,44,16,36.4,1,0.3,2,1,2,2,9.2,5,0,1058.24,0.01,0,0.12,0,0,0,1,0,1,0
CLI-004940,1,3,10,7,70.0,36,20.0,8,0,1,1,13.6,4,4,316.83,0.01,0,0.5,0,1,0,0,1,0,0
CLI-002722,0,27,7,2,28.6,2,0.4,1,5,4,2,32.5,1,0,85.55,0.0,0,0.12,1,0,0,0,0,0,1
CLI-001147,0,8,7,4,57.1,19,5.5,13,1,0,5,4.9,2,2,567.71,0.0,0,0.32,1,0,0,0,0,1,0
CLI-003588,1,16,24,0,0.0,0,0.0,0,0,99,5,14.8,3,0,585.96,0.21,1,0.0,1,0,0,0,0,0,1
CLI-003692,1,1,37,12,32.4,1,0.3,3,0,12,11,19.5,3,1,938.54,0.4,0,0.19,0,0,0,1,1,0,0
CLI-000624,0,1,43,13,30.2,4,0.6,7,0,0,0,9.9,3,3,874.12,0.0,0,0.44,0,0,0,1,1,0,0
CLI-000888,1,18,1,0,0.0,0,0.0,0,0,133,0,9.1,5,0,29.62,0.25,1,0.0,1,0,0,0,0,0,1
CLI-000852,0,11,99,65,65.7,37,16.6,12,5,0,3,9.0,2,0,5187.44,0.0,0,0.46,0,0,0,1,0,1,0
CLI-004374,1,7,15,11,73.3,38,15.0,8,0,1,1,19.1,2,0,437.85,0.0,0,0.5,1,0,0,0,0,1,0
CLI-001589,0,7,26,11,42.3,9,3.2,1,2,10,3,4.5,3,1,954.77,0.05,0,0.04,0,1,0,0,0,1,0
CLI-003636,0,17,10,3,30.0,4,0.2,4,5,4,0,5.6,3,0,203.87,0.01,0,0.25,0,1,0,0,0,0,1
CLI-001624,0,6,22,7,31.8,4,0.2,4,1,0,5,16.2,3,1,472.55,0.0,0,0.25,0,0,0,1,0,1,0
CLI-003200,0,20,3,1,33.3,11,4.9,3,3,2,0,23.3,3,0,31.29,0.0,0,0.38,0,0,0,1,0,0,1
CLI-000688,0,17,7,5,71.4,49,21.9,5,2,2,0,6.7,5,0,222.22,0.0,0,0.31,0,0,0,1,0,0,1
CLI-001328,0,19,48,37,77.1,51,27.5,8,6,0,0,4.8,5,0,2383.95,0.0,0,0.31,0,0,1,0,0,0,1
CLI-001692,0,14,9,6,66.7,30,2.5,3,4,0,2,21.7,5,0,99.41,0.0,0,0.38,0,0,1,0,0,0,1
CLI-001022,0,13,2,1,50.0,15,8.4,3,2,1,0,19.0,4,1,22.06,0.0,0,0.38,0,0,0,1,0,0,1
CLI-003324,0,20,6,3,50.0,30,22.6,4,6,2,1,25.2,3,0,75.18,0.0,0,0.5,0,1,0,0,0,0,1
CLI-002628,1,4,6,0,0.0,0,0.0,0,0,57,4,10.5,3,0,252.95,0.48,1,0.0,1,0,0,0,0,1,0
CLI-001190,1,10,1,1,100.0,63,32.0,23,2,1,1,0.5,3,1,75.56,0.0,0,0.57,0,0,0,1,0,1,0
CLI-003420,1,11,8,1,12.5,1,0.3,2,3,5,8,32.9,3,0,84.47,0.02,0,0.25,1,0,0,0,0,1,0
CLI-001315,0,8,167,122,73.1,15,2.2,8,2,10,0,6.9,5,0,3470.42,0.04,0,0.5,0,1,0,0,0,1,0
CLI-000236,0,15,9,7,77.8,53,37.0,8,6,1,0,9.1,4,0,210.36,0.0,0,0.5,0,0,0,1,0,0,1
CLI-003606,1,7,628,145,23.1,1,0.5,5,0,14,0,10.5,3,0,37769.54,0.07,0,0.12,1,0,0,0,0,1,0
CLI-004801,0,9,53,10,18.9,1,0.1,9,2,30,0,2.9,5,1,3241.09,0.11,1,0.22,0,0,0,1,0,1,0
CLI-001186,0,6,57,22,38.6,4,2.0,4,0,1,2,8.5,5,0,1279.7,0.01,0,0.25,0,0,0,1,0,1,0
CLI-000204,0,21,123,59,48.0,28,4.4,7,7,0,1,5.1,3,0,6211.62,0.0,0,0.27,0,0,0,1,0,0,1
CLI-000200,0,14,15,12,80.0,34,20.3,4,3,0,5,14.4,3,0,382.21,0.0,0,0.25,0,0,0,1,0,0,1
CLI-004965,0,10,1,1,100.0,1,0.3,7,2,30,0,0.5,5,1,41.5,0.1,1,0.27,0,0,0,1,0,1,0
CLI-000278,0,23,717,564,78.7,49,41.1,16,3,4,0,0.5,5,0,69463.25,0.01,0,0.4,0,0,1,0,0,0,1
CLI-000582,0,18,49,35,71.4,50,27.7,13,5,2,1,0.5,5,0,2477.78,0.0,0,0.5,0,0,1,0,0,0,1
CLI-004570,0,12,10,4,40.0,12,5.1,1,4,2,0,10.5,5,0,231.68,0.01,0,0.06,0,0,1,0,0,1,0
CLI-004604,0,5,5,4,80.0,45,33.1,15,2,0,3,5.8,4,0,190.49,0.0,0,0.58,0,0,0,1,0,1,0
CLI-001038,0,22,106,38,35.8,2,0.1,1,0,12,5,4.5,3,1,4098.69,0.02,0,0.04,0,1,0,0,0,0,1
CLI-003248,0,8,7,3,42.9,9,3.7,1,3,2,9,33.4,1,0,94.87,0.01,0,0.12,0,0,0,1,0,1,0
CLI-004393,0,5,118,104,88.1,68,20.8,17,1,0,0,0.5,4,0,5317.55,0.0,0,0.65,0,0,0,1,0,1,0
CLI-000829,0,13,19,4,21.1,1,0.4,2,2,1,1,6.3,2,0,664.18,0.0,0,0.08,1,0,0,0,0,0,1
CLI-003429,1,14,172,44,25.6,1,0.1,3,1,9,4,9.9,2,1,4954.71,0.02,0,0.19,1,0,0,0,0,0,1
CLI-001924,0,4,73,18,24.7,2,0.3,4,0,5,4,10.5,2,2,3017.21,0.04,0,0.15,0,0,0,1,0,1,0
CLI-001227,0,4,53,37,69.8,46,27.4,9,0,0,6,17.7,2,2,1141.46,0.0,0,0.56,0,0,0,1,0,1,0
CLI-000399,1,2,15,7,46.7,20,9.2,5,1,0,0,3.3,3,2,278.86,0.0,0,0.31,0,1,0,0,1,0,0
CLI-002751,0,7,23,14,60.9,23,13.7,13,3,1,2,5.9,4,1,1004.3,0.0,0,0.5,0,0,0,1,0,1,0
CLI-000214,0,4,876,594,67.8,10,3.6,7,0,0,2,9.1,5,2,24911.02,0.0,0,0.44,0,1,0,0,0,1,0
CLI-000682,0,1,8,5,62.5,31,19.4,8,2,1,3,10.7,5,0,214.69,0.03,0,0.5,0,0,0,1,1,0,0
CLI-004275,0,4,147,118,80.3,45,24.2,15,0,2,3,8.2,4,2,5995.3,0.02,0,0.58,0,0,0,1,0,1,0
CLI-002782,1,19,51,37,72.5,56,25.8,4,3,2,5,19.7,4,0,577.54,0.0,0,0.5,0,0,1,0,0,0,1
CLI-004014,0,8,6,2,33.3,1,0.1,2,2,17,1,17.9,5,1,82.36,0.07,0,0.25,0,1,0,0,0,1,0
CLI-002955,0,1,205,22,10.7,1,0.4,1,0,0,0,5.3,5,2,5535.0,0.0,0,0.04,0,0,0,1,1,0,0
CLI-002672,0,17,41,16,39.0,9,1.5,8,2,5,3,10.8,3,0,1025.0,0.01,0,0.5,0,0,0,1,0,0,1
CLI-001585,0,17,57,32,56.1,26,11.2,7,5,0,2,10.5,3,0,1597.15,0.0,0,0.44,0,1,0,0,0,0,1
CLI-004161,0,12,35,8,22.9,3,0.6,3,3,15,3,6.0,3,0,1267.55,0.04,0,0.12,0,0,0,1,0,1,0
CLI-004701,0,6,27,13,48.1,16,7.4,11,2,1,1,8.4,1,0,1205.32,0.01,0,0.42,0,0,0,1,0,1,0
CLI-000297,1,6,1,1,100.0,19,6.2,4,1,0,6,32.8,1,1,12.3,0.0,0,0.5,1,0,0,0,0,1,0
CLI-001570,1,7,8,3,37.5,3,0.9,0,1,15,1,8.0,4,0,204.35,0.07,0,0.0,0,0,0,1,0,1,0
CLI-003925,0,14,15,13,86.7,46,38.4,14,0,1,0,3.0,4,0,674.29,0.0,0,0.54,0,0,0,1,0,0,1
CLI-003660,0,12,5,2,40.0,10,8.1,4,1,1,2,12.5,5,0,46.91,0.0,0,0.5,0,1,0,0,0,1,0
CLI-004667,0,18,697,490,70.3,54,48.2,18,2,0,0,3.6,4,0,55760.0,0.0,0,0.45,0,0,0,1,0,0,1
CLI-001839,0,8,102,83,81.4,43,27.9,11,3,1,3,3.9,3,0,7810.05,0.0,0,0.28,0,0,0,1,0,1,0
CLI-003319,1,5,6,5,83.3,28,5.0,3,1,0,3,27.5,2,1,72.0,0.0,0,0.38,0,0,0,1,0,1,0
CLI-000017,1,1,76,44,57.9,18,7.5,10,0,6,0,7.3,3,1,3944.93,0.2,0,0.38,0,0,0,1,1,0,0
CLI-003269,0,10,13,8,61.5,45,23.4,18,1,1,1,2.5,3,0,988.43,0.0,0,0.45,0,0,0,1,0,1,0
CLI-000816,0,17,38,7,18.4,1,0.2,5,1,9,0,10.5,2,0,2003.44,0.02,0,0.19,0,0,0,1,0,0,1
CLI-001331,0,26,14,8,57.1,46,23.1,10,3,0,0,9.4,3,0,460.24,0.0,0,0.62,0,0,0,1,0,0,1
CLI-003271,0,12,50,40,80.0,58,29.3,6,4,2,3,32.7,3,0,623.47,0.01,0,0.75,0,0,0,1,0,1,0
CLI-001457,0,11,8,6,75.0,56,32.9,9,2,1,2,12.1,3,0,194.22,0.0,0,0.56,0,1,0,0,0,1,0
CLI-003169,0,9,56,37,66.1,43,25.7,6,7,4,1,10.5,4,0,1194.22,0.01,0,0.38,0,0,0,1,0,1,0
CLI-002771,0,12,139,71,51.1,30,10.4,17,3,0,3,6.1,4,1,10374.51,0.0,0,0.42,0,0,1,0,0,1,0
CLI-001831,1,2,11,3,27.3,6,3.3,9,0,0,5,7.7,2,1,483.27,0.0,0,0.35,0,0,0,1,1,0,0
CLI-003285,0,9,1,1,100.0,109,62.6,5,5,0,1,30.2,4,0,14.59,0.0,0,0.62,0,0,1,0,0,1,0
CLI-002447,0,12,3,0,0.0,0,0.0,0,0,34,0,14.2,4,1,40.0,0.09,1,0.0,0,0,0,1,0,1,0
CLI-000511,0,18,109,56,51.4,13,2.0,5,7,1,6,14.6,1,0,3073.04,0.0,0,0.31,1,0,0,0,0,0,1
CLI-002265,0,17,39,18,46.2,13,1.6,10,4,0,4,6.0,4,0,1726.18,0.0,0,0.38,0,0,0,1,0,0,1
CLI-000649,1,2,4,1,25.0,4,2.7,5,0,10,3,14.8,2,2,94.65,0.17,0,0.31,1,0,0,0,1,0,0
CLI-000920,0,15,7,2,28.6,12,0.6,3,4,8,7,15.1,3,0,178.75,0.02,0,0.19,1,0,0,0,0,0,1
CLI-004944,0,14,53,32,60.4,19,8.8,10,5,1,3,12.7,3,0,1575.24,0.0,0,0.62,0,1,0,0,0,0,1
CLI-001648,0,4,1,1,100.0,29,14.7,0,2,0,4,10.5,1,0,17.83,0.0,0,0.0,0,0,0,1,0,1,0
CLI-004127,1,5,10,6,60.0,16,7.6,1,0,2,12,43.0,1,0,134.75,0.01,0,0.12,0,0,0,1,0,1,0
CLI-003437,1,3,37,27,73.0,72,40.0,8,1,1,5,12.0,3,3,1709.11,0.01,0,0.31,0,0,0,1,1,0,0
CLI-001371,0,10,39,17,43.6,7,1.3,10,5,2,1,4.5,2,0,1904.54,0.01,0,0.38,0,0,0,1,0,1,0
CLI-000973,0,7,191,134,70.2,41,17.1,13,3,0,2,4.1,3,1,8978.92,0.0,0,0.5,0,0,0,1,0,1,0
CLI-000372,0,19,57,29,50.9,31,16.6,8,5,0,1,13.8,3,0,1628.95,0.0,0,0.5,0,1,0,0,0,0,1
CLI-004195,0,14,258,201,77.9,71,38.4,32,2,3,0,1.9,3,0,22929.24,0.01,0,0.8,0,0,0,1,0,0,1
CLI-001908,1,7,9,2,22.2,1,0.1,3,1,10,4,23.1,4,1,102.89,0.05,0,0.38,1,0,0,0,0,1,0
CLI-001563,1,10,65,27,41.5,2,0.4,4,1,30,4,9.9,4,0,1699.35,0.1,1,0.25,0,0,0,1,0,1,0
CLI-001424,0,16,116,63,50.0,11,2.3,9,3,4,2,5.5,2,0,4889.58,0.01,0,0.35,1,0,0,0,0,0,1
CLI-001080,1,12,7,5,71.4,25,1.3,7,2,3,4,20.4,1,0,169.55,0.01,0,0.44,1,0,0,0,0,1,0
CLI-004953,0,15,113,73,64.6,23,11.7,11,3,1,5,6.6,2,0,5264.46,0.0,0,0.42,0,0,0,1,0,0,1
CLI-000858,0,15,167,77,46.1,13,5.6,2,2,4,8,18.3,3,0,4367.65,0.01,0,0.12,1,0,0,0,0,0,1
CLI-000194,0,12,11,5,45.5,15,9.7,4,4,1,0,6.4,5,0,282.33,0.0,0,0.25,0,0,0,1,0,1,0
CLI-001652,0,8,55,21,38.2,1,0.2,0,4,4,0,8.2,5,1,622.29,0.02,0,0.0,0,0,1,0,0,1,0
CLI-000291,0,27,42,12,28.6,8,2.4,8,4,2,5,6.3,3,0,2202.05,0.0,0,0.31,0,0,0,1,0,0,1
CLI-002579,1,18,10,5,50.0,16,7.4,7,2,1,1,14.4,4,0,240.65,0.0,0,0.44,0,0,0,1,0,0,1
CLI-004849,0,16,36,6,16.7,1,0.1,1,4,12,9,7.2,1,0,1249.04,0.02,0,0.04,0,0,0,1,0,0,1
CLI-002028,1,1,28,6,21.4,1,0.3,0,0,30,6,20.3,2,5,667.62,1.0,1,0.0,0,0,0,1,1,0,0
CLI-002787,1,4,9,2,50.0,1,0.3,3,0,2,4,12.0,2,3,188.77,0.02,0,0.19,1,0,0,0,0,1,0
CLI-002190,0,10,839,568,67.7,32,12.1,15,2,3,3,4.5,4,2,61653.25,0.01,0,0.38,0,0,0,1,0,1,0
CLI-000813,1,1,11,1,9.1,1,0.1,0,0,2,3,25.9,3,3,93.65,0.07,0,0.0,0,0,0,1,1,0,0
CLI-000921,0,21,9,5,55.6,13,5.65,10,6,3,4,6.3,4,0,504.89,0.0,0,0.38,0,0,1,0,0,0,1
CLI-004385,0,6,63,12,50.0,5,3.6,11,3,0,2,6.3,3,3,2781.02,0.0,0,0.42,1,0,0,0,0,1,0
CLI-004487,0,14,704,502,71.3,23,10.3,18,7,3,1,3.1,4,0,55455.8,0.01,0,0.45,0,0,0,1,0,0,1
CLI-000263,1,1,3,1,33.3,7,3.3,2,1,3,1,15.6,4,3,29.54,0.1,0,0.25,0,1,0,0,1,0,0
CLI-003543,0,18,2,2,100.0,69,41.7,27,5,3,1,5.3,5,0,203.64,0.01,0,0.68,0,0,1,0,0,0,1
CLI-003438,1,1,44,27,61.4,33,24.7,12,0,2,4,10.5,2,2,1213.78,0.07,0,0.75,0,0,0,1,1,0,0
CLI-003493,0,4,6,4,66.7,41,29.9,3,1,2,3,33.0,2,1,74.86,0.02,0,0.38,1,0,0,0,0,1,0
CLI-003716,0,3,10,3,30.0,3,1.1,2,0,3,3,24.7,4,0,101.05,0.03,0,0.25,0,0,0,1,1,0,0
CLI-003697,0,12,50,22,44.0,18,9.5,12,3,1,0,3.9,5,1,2368.09,0.0,0,0.46,0,0,1,0,0,1,0
CLI-002290,0,14,179,111,62.0,29,9.1,13,0,1,0,9.8,4,0,8902.98,0.0,0,0.5,0,0,0,1,0,0,1
CLI-000579,1,2,5,3,60.0,35,7.7,4,0,1,4,23.5,3,0,58.42,0.02,0,0.5,0,0,0,1,1,0,0
CLI-001071,1,5,106,64,60.4,26,11.4,8,3,0,1,14.8,2,1,2756.35,0.0,0,0.5,1,0,0,0,0,1,0
CLI-003853,0,6,57,8,14.0,1,0.2,9,2,5,1,10.5,5,3,2293.98,0.03,0,0.35,1,0,0,0,0,1,0
CLI-004167,0,15,59,28,47.5,2,0.8,2,4,16,6,23.4,3,1,688.68,0.04,0,0.25,0,0,0,1,0,0,1
CLI-001354,0,17,41,17,41.5,14,8.1,4,3,2,2,13.8,3,0,1094.27,0.0,0,0.25,0,0,0,1,0,0,1
CLI-002503,0,17,139,20,14.4,1,0.1,11,5,11,1,0.5,4,0,9397.92,0.02,0,0.28,0,0,0,1,0,0,1
CLI-001813,0,15,186,74,39.8,1,5.65,4,1,3,0,9.1,4,1,4683.99,0.01,0,0.25,0,0,0,1,0,0,1
CLI-003051,0,4,127,72,56.7,22,3.4,12,3,0,6,10.5,4,1,7154.55,0.0,0,0.46,0,0,0,1,0,1,0
CLI-003693,1,11,870,0,0.0,0,0.0,0,0,56,3,2.1,3,1,70940.69,0.17,1,0.0,1,0,0,0,0,1,0
CLI-000918,0,21,112,53,47.3,9,6.6,3,7,1,4,17.0,1,0,2548.9,0.0,0,0.19,0,0,0,1,0,0,1
CLI-003980,0,1,149,33,22.1,11,0.6,8,0,0,0,10.5,5,4,6792.25,0.0,0,0.31,0,0,0,1,1,0,0
CLI-003576,0,8,44,13,29.5,1,0.6,9,1,2,1,10.5,5,1,3535.4,0.01,0,0.22,0,0,0,1,0,1,0
CLI-002068,0,1,118,34,28.8,5,4.1,4,0,1,2,10.1,2,3,5749.65,0.03,0,0.15,0,0,0,1,1,0,0
CLI-002237,0,9,24,3,12.5,1,0.1,0,1,2,5,10.5,3,0,274.25,0.01,0,0.0,1,0,0,0,0,1,0
CLI-002847,0,14,1,1,100.0,41,17.1,15,3,0,4,11.0,2,0,45.99,0.0,0,0.58,0,0,0,1,0,0,1
CLI-002210,0,3,151,70,46.4,20,5.3,10,0,0,6,5.8,1,1,6011.36,0.0,0,0.38,0,0,0,1,1,0,0
CLI-004957,1,5,40,0,0.0,0,0.0,0,0,95,0,10.5,5,0,996.66,0.63,1,0.0,1,0,0,0,0,1,0
CLI-000889,1,4,2,1,50.0,37,12.0,4,0,2,2,23.4,4,4,28.8,0.02,0,0.5,0,0,0,1,0,1,0
CLI-001779,0,19,4,3,75.0,55,37.4,4,3,1,0,22.4,4,0,56.1,0.0,0,0.5,0,0,1,0,0,0,1
CLI-000485,0,10,30,21,70.0,75,39.1,10,2,0,0,6.0,3,0,1503.32,0.0,0,0.38,0,1,0,0,0,1,0
CLI-001238,0,1,120,74,61.7,43,33.8,5,0,0,0,9.8,5,1,1415.41,0.0,0,0.62,0,0,0,1,1,0,0
CLI-004445,0,26,12,7,58.3,33,16.6,6,2,0,3,15.7,3,0,369.91,0.0,0,0.38,0,0,1,0,0,0,1
CLI-004521,1,1,141,104,73.8,47,32.1,3,0,0,0,4.8,3,2,6085.66,0.0,0,0.12,0,0,0,1,1,0,0
CLI-001762,0,16,201,17,8.5,1,0.3,1,5,14,2,10.5,4,0,14771.81,0.03,0,0.02,0,0,0,1,0,0,1
CLI-001508,0,3,149,36,24.2,3,1.3,2,0,2,2,10.6,5,0,3424.16,0.02,0,0.12,1,0,0,0,1,0,0
CLI-003761,1,1,11,3,27.3,6,2.5,3,0,14,3,10.5,2,3,305.64,0.47,0,0.19,1,0,0,0,1,0,0
CLI-000690,0,3,7,2,28.6,1,5.65,4,0,5,2,6.6,3,0,315.0,0.06,0,0.15,0,0,0,1,1,0,0
CLI-004170,1,5,2,1,50.0,2,0.6,4,0,6,1,18.9,3,0,24.57,0.04,0,0.5,0,0,0,1,0,1,0
CLI-002760,0,20,8,4,50.0,6,2.0,6,2,1,5,9.9,3,0,298.85,0.0,0,0.23,0,0,0,1,0,0,1
