client_id,valeur_vie_client_eur,anciennete_mois,sieges_souscrits,utilisateurs_actifs,taux_adoption_pct,connexions_30j,heures_usage_30j,fonctionnalites_utilisees,nb_integrations,derniere_connexion_jours,tickets_support_90j,delai_reponse_support_h,csat,retards_paiement_12m,revenu_mensuel_recurrent_eur,inactivite_relative,inactif_30j,taux_fonctionnalites,jour_souscription_l,jour_souscription_m,jour_souscription_me,jour_souscription_j,jour_souscription_v,jour_souscription_s,jour_souscription_d,secteur_te,secteur_fi,secteur_co,secteur_sa,secteur_in,secteur_pb,secteur_en,pays_fr,pays_es,pays_ca,pays_de,pays_ch,pays_be,taille_entreprise_tpe,taille_entreprise_pme,taille_entreprise_eti,taille_entreprise_ge,plan_str,plan_pro,plan_bus,plan_ent,couleur_theme_interface_c,couleur_theme_interface_ve,couleur_theme_interface_b,couleur_theme_interface_v,couleur_theme_interface_s,code_datacenter_eu_w1,code_datacenter_eu_w3,code_datacenter_us_e1,code_datacenter_ap_s1,groupe_experimentation_a,groupe_experimentation_b,groupe_experimentation_c,polarite_csm_alerte,polarite_csm_neutre,polarite_csm_positif,polarite_csm_absent,niveau_anciennete_recent,niveau_anciennete_etabli,niveau_anciennete_ancien
CLI-002124,371870.0,1,502,410,81.7,52,30.5,15,0,1,2,0.5,4,0,41227.25,0.03,0,0.38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
CLI-002842,2691.0,10,10,0,0.0,0,0.0,0,0,147,1,27.1,3,0,113.16,0.49,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
CLI-002956,1784645.0,16,321,43,13.4,1,0.6,9,2,30,3,2.5,4,0,27549.32,0.06,1,0.22,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
CLI-000542,15747.0,10,55,25,45.5,8,3.4,7,3,7,0,8.9,4,1,1200.21,0.02,0,0.44,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
CLI-004291,4481.0,3,46,29,63.0,14,6.7,2,1,1,3,4.3,3,1,1366.27,0.01,0,0.08,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
CLI-001031,4593.0,5,6,3,50.0,19,12.8,2,2,3,0,15.4,4,0,74.68,0.02,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
CLI-001674,10742.0,1,52,35,67.3,7,1.2,5,0,2,6,17.5,4,1,1091.62,0.07,0,0.31,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
CLI-001898,62171.0,4,32,20,62.5,16,6.2,7,0,2,3,5.8,3,0,1263.64,0.02,0,0.27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
CLI-003884,6190.0,27,4,4,100.0,136,72.6,6,6,0,2,26.5,4,0,62.91,0.0,0,0.75,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
CLI-000345,17398.0,4,187,171,91.4,79,40.2,9,0,1,2,6.0,4,1,5304.26,0.01,0,0.56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
CLI-004761,107239.0,16,25,6,24.0,1,0.1,4,5,13,0,1.4,5,0,1334.48,0.03,0,0.15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
CLI-000648,32421.0,18,76,45,59.2,15,5.5,4,3,8,3,15.7,3,0,2080.96,0.01,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
CLI-004981,1923.0,22,5,2,40.0,26,1.3,3,4,1,3,36.9,2,0,65.14,0.0,0,0.38,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
CLI-003872,19420.0,11,30,4,13.3,1,0.1,1,4,15,2,5.5,3,0,1076.52,0.05,0,0.04,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
CLI-000367,6556.0,20,12,4,33.3,1,0.4,6,5,4,2,8.0,4,0,307.52,0.01,0,0.38,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
CLI-002470,93459.0,1,740,436,58.9,15,5.5,13,0,1,3,7.5,3,4,28493.63,0.03,0,0.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
CLI-003692,8466.0,1,37,12,32.4,1,0.3,3,0,12,11,19.5,3,1,938.54,0.4,0,0.19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
CLI-002732,2000000.0,14,760,315,41.4,23,10.6,11,3,1,0,3.0,4,0,66168.67,0.0,0,0.28,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
CLI-000128,258963.0,1,186,74,39.8,3,0.7,7,0,12,1,6.4,4,4,8535.37,0.4,0,0.27,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
CLI-003427,5967.0,19,7,4,57.1,27,9.7,9,3,1,1,5.6,3,0,250.93,0.0,0,0.35,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
CLI-001447,6370.0,14,6,6,50.0,100,65.7,7,1,2,4,10.5,4,1,165.28,0.0,0,0.44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
CLI-001144,3818.0,9,3,1,50.0,1,0.3,3,3,25,2,14.6,3,0,81.69,0.09,0,0.19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
CLI-003552,222322.0,21,267,115,43.1,13,4.4,9,6,1,2,4.5,4,0,12910.68,0.0,0,0.35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
CLI-000928,69216.0,1,613,85,13.9,1,0.5,0,0,30,0,11.0,4,3,12058.6,1.0,1,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
CLI-001878,85481.0,10,114,57,50.0,28,13.9,7,4,0,1,4.9,3,0,4343.55,0.0,0,0.27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
CLI-000232,7451.0,15,45,34,75.6,25,4.8,4,3,2,4,30.6,3,0,567.93,0.0,0,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
CLI-002242,135803.0,8,92,67,72.8,48,38.7,16,0,1,3,3.7,4,1,4476.05,0.0,0,0.62,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
CLI-001717,902399.0,21,546,181,33.2,7,0.4,9,3,1,5,5.1,3,0,30569.07,0.0,0,0.35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
CLI-003264,5647.0,15,20,14,70.0,30,13.9,6,2,2,0,10.5,4,0,500.0,0.0,0,0.38,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
CLI-002224,85452.0,17,34,12,35.3,11,5.0,5,7,4,2,7.4,4,0,1828.25,0.01,0,0.19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
CLI-002360,1700.0,3,8,2,25.0,4,1.6,8,0,0,0,13.5,4,0,188.49,0.0,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
CLI-001303,40114.0,3,30,21,70.0,48,27.8,9,0,2,4,15.0,2,1,978.38,0.02,0,0.56,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
CLI-003985,40696.0,7,47,6,12.8,1,0.2,6,0,24,4,12.7,2,0,1033.95,0.11,0,0.38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
CLI-002761,2358.0,1,25,24,96.0,126,79.9,5,0,0,0,20.6,4,2,319.5,0.0,0,0.62,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
CLI-003610,21764.0,1,50,5,50.0,1,0.2,1,0,14,1,13.8,3,2,1396.91,0.47,0,0.06,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
CLI-002394,131684.0,1,217,108,49.8,29,27.8,12,0,0,0,4.3,5,5,10036.92,0.0,0,0.46,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
CLI-002180,20141.0,1,136,73,53.7,15,2.1,5,1,2,3,20.3,2,4,3070.34,0.07,0,0.31,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
CLI-001661,25752.0,9,22,14,63.6,23,4.5,1,2,2,8,17.5,1,1,581.57,0.01,0,0.06,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
CLI-003048,10800.0,6,34,32,94.1,112,68.5,15,0,3,2,14.0,4,0,1013.18,0.02,0,0.94,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
CLI-002701,7863.0,10,16,14,87.5,99,90.2,5,2,1,7,36.7,3,0,223.0,0.0,0,0.62,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
CLI-004659,64981.0,5,132,51,38.6,11,2.9,23,2,1,0,0.7,4,1,9905.71,0.01,0,0.57,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
CLI-001045,725.0,1,24,4,16.7,1,0.1,2,0,4,4,24.3,4,1,220.95,0.13,0,0.25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
CLI-002925,22464.0,16,41,22,53.7,5,1.7,3,2,3,4,26.6,3,0,537.17,0.01,0,0.38,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
CLI-002740,7690.0,18,34,6,17.6,1,0.4,5,4,2,1,5.1,4,0,1339.72,0.0,0,0.19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
CLI-003084,978.0,14,10,6,60.0,13,5.2,4,3,4,3,12.5,3,0,198.76,0.01,0,0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
CLI-001011,194968.0,6,654,362,55.4,30,16.8,13,1,1,0,3.6,3,0,29720.7,0.01,0,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
CLI-002798,12894.0,11,53,19,35.8,19,5.65,8,2,2,6,8.4,2,0,1747.19,0.01,0,0.31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
CLI-001879,105435.0,18,51,25,49.0,21,15.4,12,4,2,1,10.5,5,0,2795.19,0.0,0,0.46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
CLI-003612,227995.0,13,194,65,33.5,12,1.4,12,6,1,4,2.2,4,0,9268.09,0.0,0,0.46,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
CLI-003731,3638.0,15,54,23,42.6,20,3.4,1,2,0,5,29.4,3,0,554.62,0.0,0,0.12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
CLI-004030,34774.0,6,23,3,13.0,1,0.1,6,0,30,3,3.8,3,1,1696.29,0.17,1,0.15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
CLI-002983,2885.0,17,3,1,33.3,17,7.2,7,7,2,0,3.8,4,0,121.33,0.0,0,0.27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
CLI-001468,2000000.0,5,593,435,73.4,43,22.7,16,1,2,1,4.0,2,1,56081.79,0.01,0,0.4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
CLI-003498,14362.0,15,32,10,31.2,6,0.3,3,2,6,7,19.3,3,1,700.57,0.01,0,0.19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
CLI-003929,3458.0,4,15,5,33.3,7,2.7,7,1,1,2,10.5,2,0,351.45,0.01,0,0.44,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
CLI-003566,1174.0,10,12,9,75.0,44,20.3,8,2,0,4,11.8,4,1,238.52,0.0,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
CLI-001564,9259.0,8,27,18,66.7,29,15.1,6,2,0,1,10.5,3,0,664.18,0.0,0,0.38,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
CLI-002689,30012.0,18,47,31,66.0,38,12.3,8,4,0,4,9.0,5,0,1407.69,0.0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
CLI-001806,55892.0,15,53,30,56.6,29,10.3,18,3,2,1,10.5,5,0,2350.36,0.0,0,0.69,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
CLI-004662,41323.0,21,52,36,69.2,50,36.1,6,2,1,0,8.1,4,0,1527.07,0.0,0,0.38,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
CLI-000918,45982.0,21,112,53,47.3,9,6.6,3,7,1,4,17.0,1,0,2548.9,0.0,0,0.19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
CLI-004466,271073.0,15,180,140,77.8,25,19.5,10,4,2,0,7.8,4,0,4591.35,0.0,0,0.62,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
CLI-002525,70762.0,6,38,19,50.0,2,0.8,3,2,30,9,10.5,1,0,1710.0,0.17,1,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
CLI-003862,8611.0,12,59,0,50.0,0,5.65,0,0,41,3,26.0,3,1,750.08,0.11,1,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
CLI-002793,2000000.0,22,621,497,80.0,42,18.0,8,9,0,6,1.4,2,0,55542.77,0.0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
CLI-002047,139567.0,2,209,105,50.2,21,3.0,8,0,1,7,13.3,2,0,9455.77,0.02,0,0.31,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
CLI-004346,2570.0,15,14,6,42.9,10,1.4,5,2,0,6,12.5,4,0,348.18,0.0,0,0.31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
CLI-001421,7813.0,11,6,0,0.0,0,0.0,0,0,54,3,14.9,4,0,167.16,0.16,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
CLI-002271,901.0,8,5,4,80.0,34,5.65,4,2,2,4,30.3,3,0,64.66,0.01,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
CLI-000372,129567.0,19,57,29,50.9,31,16.6,8,5,0,1,13.8,3,0,1628.95,0.0,0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
CLI-003130,10593.0,5,22,12,54.5,39,18.0,7,2,3,4,11.4,4,0,538.27,0.02,0,0.44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
CLI-002321,21339.0,24,32,14,43.8,14,2.7,3,1,5,4,17.5,2,0,867.44,0.01,0,0.19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
CLI-003448,24994.0,6,186,131,70.4,32,15.1,7,0,1,3,14.2,4,0,5080.14,0.01,0,0.44,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
